Column 1,닉네임,소속팀팀,정모요일,정모 날짜(정모시간 외 입력시),,,
2026. 1. 1 오전 6:25:38,오칠팔이,2팀,목요일,,,,
2026. 1. 1 오전 6:25:53,한쓰,3팀,목요일,,,,
2026. 1. 1 오전 6:26:05,블루,5팀,목요일,,,,
2026. 1. 1 오전 6:26:20,목우인,4팀,목요일,,,,
2026. 1. 1 오전 6:27:01,데이,3팀,목요일,,,,
2026. 1. 1 오전 6:28:23,난닝구,5팀,목요일,,,,
2026. 1. 1 오전 6:29:08,보스턴,5팀,목요일,,,,
2026. 1. 1 오전 6:30:03,초이스,5팀,목요일,,,,
2026. 1. 1 오전 6:30:57,쭈야,5팀,목요일,,,,
2026. 1. 1 오전 6:31:34,브리따,4팀,토요일,,,,
2026. 1. 1 오전 6:32:15,SJ,4팀,목요일,,,,
2026. 1. 1 오전 6:33:48,스마일,5팀,목요일,,,,
2026. 1. 1 오전 6:34:06,레이스,S팀,목요일,,,,
2026. 1. 1 오전 6:34:49,James,1팀,목요일,,,,
2026. 1. 1 오전 6:41:38,BigC,3팀,목요일,,,,
2026. 1. 1 오전 8:13:01,게살볶음밥,2팀,토요일,,,,
2026. 1. 1 오전 8:47:31,헥사,4팀,목요일,,,,
2026. 1. 1 오전 8:51:47,진달,3팀,목요일,,,,
2026. 1. 1 오전 8:57:58,기찬도리,2팀,목요일,,,,
2026. 1. 1 오전 8:58:03,말아톤,2팀,목요일,,,,
2026. 1. 1 오전 9:01:25,신뽀리,4팀,목요일,,,,
2026. 1. 1 오전 9:01:50,쌍둥아빠,3팀,목요일,,,,
2026. 1. 1 오후 2:37:09,마운틴,2팀,목요일,2026. 1. 1,,,
2026. 1. 3 오전 6:14:49,짱구는목말러,1팀,토요일,2026. 1. 3,,,
2026. 1. 3 오전 6:25:51,케이,5팀,토요일,2026. 1. 3,,,
2026. 1. 3 오전 6:26:40,블루,5팀,토요일,2026. 1. 3,,,
2026. 1. 3 오전 6:27:27,오칠팔이,2팀,토요일,2026. 1. 3,,,
2026. 1. 3 오전 6:27:39,신뽀리,4팀,토요일,2026. 1. 3,,,
2026. 1. 3 오전 6:27:40,SJ,4팀,토요일,,,,
2026. 1. 3 오전 6:27:40,말아톤,2팀,토요일,2026. 1. 3,,,
2026. 1. 3 오전 6:27:44,나이스,1팀,토요일,2026. 1. 3,,,
2026. 1. 3 오전 6:28:15,다니엘,S팀,토요일,2026. 1. 3,,,
2026. 1. 3 오전 6:28:26,태태,4팀,토요일,2026. 1. 3,,,
2026. 1. 3 오전 6:28:58,라우펜더만,3팀,토요일,,,,
2026. 1. 3 오전 6:29:16,목우인,4팀,토요일,,,,
2026. 1. 3 오전 6:31:29,동초딩,3팀,토요일,2026. 1. 3,,,
2026. 1. 3 오전 6:31:40,시카고,2팀,토요일,2026. 1. 3,,,
2026. 1. 3 오전 6:32:15,불꽃십자인대,5팀,토요일,2026. 1. 3,,,
2026. 1. 3 오전 6:32:16,Josh,2팀,토요일,2026. 1. 3,,,
2026. 1. 3 오전 6:32:47,지디,4팀,토요일,,,,
2026. 1. 3 오전 6:43:16,송버드,5팀,토요일,2026. 1. 3,,,
2026. 1. 3 오전 7:04:34,즐런,1팀,토요일,2026. 1. 3,,,
2026. 1. 3 오전 7:04:50,BigC,3팀,토요일,2026. 1. 3,,,
2026. 1. 3 오전 8:01:35,예예,2팀,토요일,,,,
2026. 1. 3 오전 8:02:06,James,1팀,토요일,2026. 1. 3,,,
2026. 1. 3 오전 8:03:05,뛰는자,5팀,토요일,2026. 1. 3,,,
2026. 1. 3 오전 8:04:32,치달,2팀,토요일,2026. 1. 3,,,
2026. 1. 3 오전 8:15:59,써니형,S팀,토요일,2026. 1. 3,,,
2026. 1. 3 오전 11:20:53,마운틴,2팀,토요일,2026. 1. 3,,,
2026. 1. 8 오후 7:16:56,James,1팀,목요일,2026. 1. 8,,,
2026. 1. 5 오후 5:51:37,바람요정,4팀,토요일,2026. 1. 3,,,
2026. 1. 6 오후 7:28:56,데이,3팀,화요일,2026. 1. 6,,,
2026. 1. 6 오후 7:29:14,태태,4팀,화요일,2026. 1. 6,,,
2026. 1. 6 오후 7:29:17,목우인,4팀,화요일,2026. 1. 6,,,
2026. 1. 6 오후 8:07:33,가람,3팀,화요일,2026. 1. 6,,,
2026. 1. 6 오후 8:11:01,쫑쫑,S팀,화요일,2026. 1. 6,,,
2026. 1. 6 오후 8:11:25,오구오구,5팀,화요일,2026. 1. 6,,,
2026. 1. 6 오후 8:12:15,호밀,4팀,화요일,2026. 1. 6,,,
2026. 1. 6 오후 8:13:42,민주아빠,4팀,화요일,2026. 1. 6,,,
2026. 1. 6 오후 8:13:46,진달,3팀,화요일,2026. 1. 6,,,
2026. 1. 6 오후 9:07:32,크로버,S팀,화요일,2026. 1. 6,,,
2026. 1. 8 오전 9:20:25,블루,5팀,화요일,2026. 1. 6,,,
2026. 1. 8 오전 9:20:55,오칠팔이,2팀,화요일,2026. 1. 6,,,
2026. 1. 8 오전 9:21:41,블루,5팀,목요일,2026. 1. 1,,,
2026. 1. 8 오전 9:21:58,오칠팔이,2팀,목요일,2026. 1. 1,,,
2026. 1. 8 오후 7:08:53,동초딩,3팀,목요일,2026. 1. 8,,,
2026. 1. 8 오후 7:18:06,스마일,5팀,목요일,2026. 1. 8,,,
2026. 1. 8 오후 7:18:43,즐런,1팀,목요일,2026. 1. 8,,,
2026. 1. 8 오후 7:19:03,zepi,2팀,목요일,2026. 1. 8,,,
2026. 1. 8 오후 7:19:30,6스타,5팀,목요일,2026. 1. 8,,,
2026. 1. 8 오후 7:20:10,이우,5팀,목요일,2026. 1. 8,,,
2026. 1. 8 오후 7:20:54,쫑쫑,5팀,목요일,2026. 1. 8,,,
2026. 1. 8 오후 7:21:28,블루,5팀,목요일,2026. 1. 8,,,
